"","Genus_num","PD","MPD","MPD.z","MNTD","MNTD.z","Adult.diel.activity..Kawahara.ADA.","Lin.ADA","ADA.Notes","ADA.Source","Superfamily..group.in.Kawahara.2019","Superfamily","Family","Genus","Common.name","Habitat","Mimicry...aposematism","Mimicry..aposematism.source","Distribution","Climate.zone","Adult.active.season","Altitude","Geography.source","feeding.type","Host.range..HR.","HR..loose.","Host.plant.notes","HR.Notes","Host.type","HR.Source"
"Demonarosa rufotessellata",5,647.403285,196.6416524,-1.14725912788032,130.61608,-2.14205048750187,0,"nocturnal","likely nocturnal. Some species in the family are active during day (evening) and night","Fullard and Napoleone 2001
Solovyev and Witt 2009","Zygaenoidea","Zygaenoidea","Limacodidae","Demonarosa","?","some congeners found in rainforest","Aposematic?","Inferred from photo","Borneo, as well as in India, Nepal, Myanmar, Thailand, Laos, Vietnam, the Philippines, Taiwan and Japan","Tropics and Subtropics (30N-5S)","June-September","200-2700m","Solovyev A, Witt TJ (2009) The Limacodidae of Vietnam. Entomofauna, Supplement 16:33-321
http://www.jpmoth.org/~dmoth/Digital_Moths_of_Asia/60_ZYGAENOIDEA/Limacodidae/03_Demonarosa/Demonarosa%20rufotessellata%20rufotessellata/Demonarosa%20rufotessellata%20rufotessellata.htm","folivore","0","0","Know host in Taiwan includes, Carpinus kawakamii (Betulaceae), Cyclobalanopsis glauca glauca (Fagaceae), Liquidambar formosana (Altingiaceae), Lithocarpus konishii (Fagaceae), Myrica rubra (Myricaceae), Quercus glauca glauca (Fagaceae)","generalist","broadleaf tree","http://dearlep.tw/species.html?namecode=345642"
"Eudocima salaminia",8,920.442996,225.144574178571,-0.769676095799512,140.54690325,-1.49202586710477,0,"nocturnal","nocturnal.","Muniappan et al. 2002
Sands et al. 1991","Noctuoidea","Noctuoidea","Erebidae","Eudocima","Green fruit-piercing moth","forest ","cryptic forewings? Warning-colored hindwings","Inferred from photo"," India, and across south-east Asia to the Pacific Islands, and Australia","Tropics (25N-25S)","?","200-2600m","https://en.wikipedia.org/wiki/Eudocima_salaminia
Singh et al. 2019
https://www.mothsofborneo.com/part-15-16/calpini/calpini_4_1.php
","folivore","1","1","Feed on vines of  Stephania sp and Sarcopetalum sp	(Menispermaceae)","specialist","vine","Fay 1996
Muniappan et al. 2002"
"Smerinthus saliceti",2,363.089252,76.07721,-1.94728381932631,76.07721,-1.71544424952691,0,"nocturnal","adult can be collected at night.","Alarcn et al. 2008","Bombycoidae","Bombycoidae","Sphingidae","Smerinthus","Salicet sphinx","Valleys and streamsides.","Cryptic grey-brown + warning coloration","Inferred from photo"," Mexico, Texas, southern Arizona, and  southern California","Tropics, Temperate (40N-20N)","April-September","?","https://en.wikipedia.org/wiki/Smerinthus_saliceti","folivore","1","1","feed on Salicaceae such as Salix, Populus.","specialist","broadleaf tree","https://en.wikipedia.org/wiki/Smerinthus_saliceti"
"Antaeotricha schlaegeri",2,422.930215,195.759203,-0.554629882454604,195.759203,-0.730290000140708,0,"nocturnal","the paper use two night time collection method to capture.","Carroll and Kearby 1978","Gelechioidea","Gelechioidea","Depressariidae","Antaeotricha","Schlaeger's fruitworm moth","Terrestrial; deciduous forests (inferred from maps)","bird dropping mimic","https://bugguide.net/node/view/22453","North-eastern North America, south to North Carolina and west to Kansas and Texas","Temperate (30N-40N)","May-August","?","https://en.wikipedia.org/wiki/Antaeotricha_schlaegeri
Carroll and Kearby 1978
Hayden and Dickel 2015","folivore","0","1","Feed on Quercus alba (Fagaceae) and Betula spcies (Betulaceae).","generalist","broadleaf tree","Hayden and Dickel 2015
https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?searchPageURL=index.dsml&Familyqtype=starts+with&Family=&PFamilyqtype=starts+with&PFamily=&Genusqtype=starts+with&Genus=Antaeotricha&PGenusqtype=starts+with&PGenus=&Speciesqtype=starts+with&Species=schlaegeri&PSpeciesqtype=starts+with&PSpecies=&Country=&sort=Family"
"Ptilostomis semifasciata",NA,NA,NA,NA,NA,NA,2,"","","","","Phryganeoidea","Phryganeidae","Ptilostomis","","Near ponds and lakes","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Phoebis sennae",7,783.092926,185.225801904762,-1.59739502785093,138.519473285714,-1.50437965192601,1,"diurnal","diurnal","Roque-Albelo 2004","Papilionoidea","Papilionoidea","Pieridae","Phoebis","Cloudless sulphur","Disturbed open areas including parks, yards, gardens, beaches, road edges, abandoned fields, scrub.","-","-"," South America to southern Canada","Tropics, Subtropics and Temperate (50N-40S)","year round.","0-900m","Roque-Albelo 2004","folivore","1","1","feed on Senna spp (Fabaceae)","specialist","broadleaf tree","Roque-Albelo 2004"
"Mythimna separata",3,379.835247,63.0236766666667,-2.4940330384316,46.5455043333333,-3.86670954187878,0,"nocturnal","nocturnal","Sharma et al . 2002","Noctuoidea","Noctuoidea","Noctuidae","Mythimna","Northern armyworm","-","Cryptic grey-brown","Inferred from photo"," China, Japan, South-east Asia, India, eastern Australia, New Zealand, and some Pacific islands.","Tropics, Subtropics, Temperate (45N-45S)","January-April","?","Sharma et al . 2002","folivore","0","0","mainly Poaceae, polyphagous","generalist","herbaceous plant, grass","Kuramitsu et al. 2016"
"Pseudothyris sepulchralis",2,365.605832,81.11,-2.01938938312868,81.11,-2.14533136192959,0,"diurnal ","flying during daytime.","https://bugguide.net/node/view/19829","Calliduloidea/Thyridoidea","Thyridoidea","Thyrididae","Pseudothyris","Mournful Thyris Moth","-","??","","North America","Subtropics and Temperate (50N-20N)","Feburary-July","?","https://bugguide.net/node/view/19829","folivore","1","1","feed on Vitus spp (Vitaceae) ","specialist","vine","https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?searchPageURL=index.dsml&Familyqtype=starts+with&Family=&PFamilyqtype=starts+with&PFamily=&Genusqtype=starts+with&Genus=&PGenusqtype=starts+with&PGenus=&Speciesqtype=starts+with&Species=sepulchralis&PSpeciesqtype=starts+with&PSpecies=&Country=&sort=Family"
"Manduca sexta",26,1718.258309,176.685415332308,-3.5101282362986,93.9417603846154,-2.39876297470405,0,"nocturnal","nocturnal flower visitor.","http://entnemdept.ufl.edu/creatures/field/hornworm.htm
","Bombycoidae","Bombycoidae","Sphingidae","Manduca","Tobacco hornworm","Tobacco fields, vegetable gardens, and a wide variety of habitats.","Cryptic grey-brown","Inferred from photo","North and Central America","Tropics, Subtropics, Temperate (45N-15N)","May-September","?","https://en.wikipedia.org/wiki/Manduca_sexta
http://mothphotographersgroup.msstate.edu/species.php?hodges=7775
Bossart and Gage 1990","folivore","1","1","feed on Solanaceae","specialist","herbaceous plant","Boer and Hanson 1984"
"Ganisa similis",NA,NA,NA,NA,NA,NA,0,"nocturnal","species from the same genus, Ganisa plana , can be collected by light trap.","Singh and Ranjan 2016","Bombycoidae","Bombycoidae","Eupterotidae","Ganisa","?","Habitat preference. The species has been taken infrequently in lowland and lower montane forest; the three specimens taken during the Mulu survey were from 250m and 900m on the limestone of G. Api. ","Cryptic grey-brown","Inferred from photo"," Himalayas to western China and Sundaland.","Subtropics and Tropics (30N-0N)","?","lowland and lower montane forests","https://en.wikipedia.org/wiki/Ganisa_similis","folivore","1","1","G. plana feed on Jasminum sp. (Oleaceae). G. postica feed on Olea sp and Jasminum sp (Oleaceae)","specialist","broadleaf tree","https://en.wikipedia.org/wiki/Ganisa"
"Eudarcia simulatricella",NA,NA,NA,NA,NA,NA,0,"nocturnal","Kawahara et al. 2018a use general behavior of the family as indicator.","Robinson and Nielsen 1993","Tineoidea","Tineoidea","Meessiidae","Eudarcia","?","-","Cryptic grey-brown","Inferred from photo","North America","Temperate (40N-35N)","March-July","?","http://mothphotographersgroup.msstate.edu/species.php?hodges=278","folivore","0","0","no record on current species. E. celidopa and E. cuniculata are polyphagous","likely generalist","broadleaf tree and shrub","https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?searchPageURL=index.dsml&Familyqtype=starts+with&Family=&PFamilyqtype=starts+with&PFamily=&Genusqtype=starts+with&Genus=Eudarcia&PGenusqtype=starts+with&PGenus=&Speciesqtype=starts+with&Species=&PSpeciesqtype=starts+with&PSpecies=&Country=&sort=Family"
"Philodoria splendida",2,338.874342,27.6472,-2.34485959918714,27.6472,-2.76246116558008,1,"diurnal","diurnal","Johns et al. 2016
Kawahara  et al. 2018a","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Gracillariidae","Philodoria","?","-","Cryptic grey-brown","Inferred from photo","Hawaii","Tropics (20N)","?","?","Johns et al. 2016","folivore, miner","1","1","feed on Metrosideros polymorpha (Myrtaceae)","specialist","broadleaf tree","Johns et al. 2014"
"Lactura subfervens",2,338.660814,27.2206,-2.28999260280298,27.2206,-2.28045495342273,0,"nocturnal","believed to be exclusively nocturnal","Matson et al. 2019","Zygaenoidea","Zygaenoidea","Lacturidae","Lactura","?","-","Cryptic grey-brown","Inferred from photo","North America, Kansas to Louisiana and southern Texas.","Subtropics and Temperate (40N-25N)","Feburary-May","?","https://bugguide.net/node/view/629518","folivore","1","1","known host includes bumelia (Sideroxylon lanuginosum, Sapotaceae)","specialist","broadleaf tree","Matson et al. 2019"
"Macrauzata submontana",NA,NA,NA,NA,NA,NA,0,"nocturnal","they use the record of M. maxima in Kwahara 2017","Minet and Scoble 1998","Drepanoidea","Drepanoidea","Drepanidae","Macrauzata","?","lowland forest","Cryptic grey-brown","Inferred from photo","Borneo, Peninsular Malaysia, Sumatra and Java.","Tropics (10N-10S)","?","?","https://en.wikipedia.org/wiki/Macrauzata_submontana","folivore","0","0","did not find recrod for this species but some species in Drepanidae are not host specific.","generalist","broadleaf tree","Sen and Lin 2002"
"Dyseriocrania subpurpurella",2,336.827369,23.5534,-2.31718707799109,23.5534,-2.72838732413416,1,"diurnal","diurnal","https://en.wikipedia.org/wiki/Dyseriocrania_subpurpurella","Eriocranioidea/Neopseustoidea","Eriocranioidea","Eriocraniidae","Dyseriocrania","?","Woodland areas, and around Oaks","Cryptic grey-brown","Inferred from photo","Europe","Temperate (55N-35N)","April-May","?","
https://en.wikipedia.org/wiki/Dyseriocrania_subpurpurella","folivore, miner","1","1","feed on Quercus spp. (Fagaceae)","specialist","broadleaf tree","https://en.wikipedia.org/wiki/Dyseriocrania_subpurpurella"
"Cyclidia substigmaria",2,448.784963,247.469011,-0.0434488624653736,247.469011,-0.149607225592247,0,"nocturnal","collected at night time (21:00-23:00)","Yang et al. 2006","Drepanoidea","Drepanoidea","Drepanidae","Cyclidia","?","some congeners found in rainforest","Cryptic grey-brown","Inferred from photo","Taiwan, China, India and Japan.","Subtropics and Temperate (20N-40N)","?","?","https://en.wikipedia.org/wiki/Cyclidia_substigmaria
Spitsyn et al. 2018","folivore","1","1","Feed on Alangium sp. (Cornaceae) and Hibiscus sp. (Malvaceae)","specialist","broadleaf tree","https://en.wikipedia.org/wiki/Cyclidia_substigmaria
Han et al. 2016"
"Chilo suppressalis",26,1252.214979,148.260524732308,-4.3514253747426,52.0881280769231,-4.54202453058921,0,"nocturnal","This is not in Kawahara et al. 2018a. Adults are nocturnal and become active early in the evening.","https://www.cabi.org/isc/datasheet/12855
Reissig 1985","Pyraloidea","Pyraloidea","Crambidae","Chilo","Asiatic rice borer","Cultivated / agricultural land; Riverbanks; Wetlands","Cryptic grey-brown","Inferred from photo","India, Sri Lanka, China, eastern Asia, Japan, Taiwan, Malaysia to the Pacific.","Tropics, Subtropics, Temperate (5N-40N)","depending on the region, all year","?","https://www.cabi.org/isc/datasheet/12855
Reissig 1985
","folivore","0","0","Mainly  Poaceae, other includes Amaranthaceae, Brassicaceae, Typhaceae,  Asteraceae.","generalist","grass","https://www.cabi.org/isc/datasheet/12855
Reissig 1985
"
"Striglina suzukii",2,331.678264,13.25557,-2.57009842279638,13.25557,-3.2691563936089,0,"nocturnal","adult attracted by light at night. Not in Kawahara et al. 2018a.","http://gaga.biodiv.tw/9702bx/534.htm","Calliduloidea/Thyridoidea","Thyridoidea","Thyrididae","Striglina","?","-","Cryptic grey-brown","Inferred from photo","Japan, China, Taiwan ","Subtropics and Temperate (30N-20N)","?","?","http://taibif.tw/zh/namecode/434611
Osakabe 1986
http://www.e-chinatea.cn/technology/102/11428.aspx","folivore","?","?","feed on tea (Camellia, Theaceae)","?","shrub","Osakabe 1986"
"Thymelicus sylvestris",3,359.461879,37.0422673333333,-2.69630975180316,31.7799273333333,-3.62756134023752,1,"diurnal","diurnal","Harding Jand Jacob 2013","Papilionoidea","Papilionoidea","Hesperiidae","Thymelicus","Small skipper","This species inhabits rough grassland, where tall grasses grow, and may occur on roadside verges, beside hedgerows, on overgrown downland, in woodland clearings and along woodland rides.","-","-","Europe, North Africa, Central Asia and Iran.","Subtropics and Temperate (60N-30N)","June-August","?","Harding Jand Jacob 2013","folivore","1","1","feed on many Poaceae species, such as  Yorkshire-fog plant","specialist","grass","Harding Jand Jacob 2013"
"Triodia sylvina",4,675.401073,239.231363833333,-0.348229246614002,228.54598825,0.148673806081644,2,"crepuscular","crecrepuscular","Turner 2013","Lophocoronoidea/Hepialoidea","Hepialoidea","Hepialidae","Triodia","Orange swift","This species inhabits gardens, woodland and rough grassland, roadside verges, moorland and other wild places.","Cryptic grey-brown","Inferred from photo","Europe","Temperate (65N-40N)","June-September","?","Li et al. 2018
Grehan and Knyazev 2019
https://en.wikipedia.org/wiki/Orange_swift","rhizophagous","0","0","feed on root of various plants including bracken (Dennstaedtiaceae), dandelion (Asteraceae), dock (Polygonaceae), hop (Cannabaceae) and viper's bugloss (	Boraginaceae)","generalist","herbaceous plant, shrub","Li et al. 2018"
"Podosesia syringae",6,506.115591,105.906792666667,-3.02187201159793,60.1442046666667,-3.63409186145392,1,"diurnal","diurnal","Solomon 1975","Sesioidea","Sesioidea","Sesiidae","Podosesia","Ash borer","-","Polistes mimic","Inferred from photo","North America","Temperate (60N-30N)","April-September","?","Solomon 1975","stem borer","1","1","feed on green ash, Fraxinus pennsylvanica and other Oleaceae","specialist","broadleaf tree","Solomon 1975"
"Cigaritis takanonis",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Elmes et al. 2001","Papilionoidea","Papilionoidea","Lycaenidae","Cigaritis","?","-","-","-","Japan, Korea, China","?","?","?","Fiedler 1998","carnivorous ","?","?","?","?","?","Elmes et al. 2001"
"Xylophanes tersa",16,1337.017068,194.435220916667,-2.16415516147392,121.612848,-1.72951132029464,0,"nocturnal","nocturnal flower visitor.","Ortega-Baes et al. 2011","Bombycoidae","Bombycoidae","Sphingidae","Xylophanes","Tersa sphinx","-","Cryptic grey-brown","Inferred from photo","North, Central, and South America","Tropics, Subtropics, Temperate (40N-40S)","depending on the region, all year","?","https://en.wikipedia.org/wiki/Xylophanes_tersa","folivore","0","0","feed on many species in Rubiaceae, some species of Lythraceae, Fabaceae, Bignoniaceaee","generalist","herbaceous, shrub","Metzler and Lucas 1990
https://en.wikipedia.org/wiki/Xylophanes_tersa"
"Imma tetrascia",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Dugdale et al. 1999","Immoidea/Tortricoidea","Immoidea","Immidae","Imma","?","-","Cryptic grey-brown","Inferred from photo","Australia ","Tropics and Subtropics (30S-15S)","?","?","Dugdale et al. 1999","?","?","?","?","?","?","?"
"Acrocercops transecta",5,540.737832,142.767032,-2.03798980157488,92.358798,-2.80636961463475,0,"diurnal","Dirunal. Not in Kawahara et al. 2018a","Angulo-Sandoval and Aide 2000","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Gracillariidae","Acrocercops","?","-","Cryptic grey-brown","Inferred from photo","Russia, South Korea, Japan and Taiwan","Tropics ans Subtropics  (60N-20N)","year round.","?","Ohshima 2005","folivore, miner","0","1","feed on speceis of Juglandaceae and Ericaceae","generalist (specialized for each race)","broadleaf tree","Ohshima 2005
Kawakita and Kato 2017"
"Amyelois transitella",33,2703.903709,231.881996409091,-1.16207776447155,118.609158090909,-1.21702506533193,0,"nocturnal","Mating take place at night.","Parra-Pedrazzoli and Leal 2006","Pyraloidea","Pyraloidea","Pyralidae","Amyelois","Navel orangeworm","orchard crops","Cryptic grey-brown","Inferred from photo","America, United States, Caribbean, South America","Tropics, Subtropics, Temperate (50N-50S)","year round.","?","Lara-Villalón et al. 2017","frugivore","0","0","feed on wide varieties of fruit in different plant families","generalist","broadleaf tree","Lara-Villalón et al. 2017"
"Caloptilia triadicae",2,328.487301,6.87322,-2.81448109442577,6.87322,-2.88728567381593,0,"nocturnal","night active","http://entnemdept.ufl.edu/creatures/BENEFICIAL/LEPS/Caloptilia_triadicae.html#hosts","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Gracillariidae","Caloptilia","Tallow leaf roller","wetland and riparian ecosystems","Cryptic grey-brown","Inferred from photo","China, North America","Subtropics and Temperate (35N-15N)","year round.","?","Davis et al. 2013; Duncanet al. 2016
http://entnemdept.ufl.edu/creatures/BENEFICIAL/LEPS/Caloptilia_triadicae.html","folivore, miner","1","1","mainly feed on Chinese tallowtree, Triadica sebifera (Euphorbiaceae)","specialist","broadleaf tree","Duncan et al. 2016"
"Ceratomia undulosa",NA,NA,NA,NA,NA,NA,0,"nocturnal","strtictly nocturnal","Fullard and Napoleone 2001","Bombycoidae","Bombycoidae","Sphingidae","Ceratomia","Waved sphinx","butterfliesandmoths: A variety of forested and open habitats BugGuide: deciduous forests, woodlots, tree plantations, shrubby areas, suburban and riparian areas; adults are nocturnal and come to light","Cryptic grey-brown","Inferred from photo","United States, and southern Canada","Temperate (50N-30N)","?","?","https://en.wikipedia.org/wiki/Ceratomia_undulosa","folivore","1","1","feed on Oleaceae (flower fragrance at night.)","specialist","broadleaf tree","Lampert and Bowers 2015"
"Acanthopteroctetes unifascia",2,329.515292,8.92874,-2.48930010887174,8.92874,-2.85669994444317,1,"diurnal","adults are diurnal","https://en.wikipedia.org/wiki/Acanthopteroctetidae","Eriocranioidea/Neopseustoidea","Eriocranioidea","Acanthopteroctetidae","Acanthopteroctetes","Tongue moth","-","Cryptic grey-brown","Inferred from photo","North America, Montana","Temperate (50N-45N)","July","?","Eiseman 2016","folivore, miner","1","1","leaf miner of Ceanothus spp (Rhamnaceae)","specialist","shrub","Eiseman 2016"
"Heliothis virescens",50,3044.73278,225.628624093878,-2.03648912226091,82.73175444,-2.77343293219188,0,"nocturnal","nocturnal","Lam and Baumhoyer 1982","Noctuoidea","Noctuoidea","Noctuidae","Heliothis","Tobacco budworm","field crops","Cryptic grey-brown","Inferred from photo","Eastern and southwestern United States along with parts of Central America and South America","Tropics, Subtropic, Temperate (55N-40S)","year round.","?","https://irac-online.org/pests/heliothis-virescens/
https://en.wikipedia.org/wiki/Heliothis_virescens","folivore","0","0","Mainly tobacco (Solanaceae), polyphagous","generalist","herbaceous plant","https://en.wikipedia.org/wiki/Heliothis_virescens"
"Dryadaula visaliella",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Kawahara  et al. 2018a","Tineoidea","Tineoidea","Dryadaulidae","Dryadaula","?","some congeners feed on fungus in basements and distilleries","Cryptic grey-brown","Inferred from photo","North East America, East US","Subtropics and Temperate (50N-25N)","?","?","http://mothphotographersgroup.msstate.edu/species.php?hodges=307","?","?","?","?","?","?","?"
"Plutella xylostella",22,1641.873629,206.186826121212,-1.98298499656762,94.5536464545455,-2.7962467825504,3,"all","fight activity started 2 hour before sunset and stop several hour after.","Goodwin and Danthanarayana 1984","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Plutellidae","Plutella","Diamond baack moth","larvae on Plants and crops in the family Brassicaceae, including broccoli, Brussels sprouts, cabbage, Chinese cabbage, cauliflower, collard, kale, kohlrabi, mustard, radish, turnip, and watercress.","Cryptic grey-brown","Inferred from photo","World wide","Ttropics, Subtropics and Temperate (60N-55S)","year round.","?","Talekar and Shelton 1993","folivore","1","1","feed on Brasicaceae","specialist","herbaceous plant","Talekar and Shelton 1993"
"Megathymus yuccae",2,327.227582,4.35456,-2.92849672302289,4.35456,-2.47803069471133,1,"diurnal","diurnal","Trager et al .2009","Papilionoidea","Papilionoidea","Hesperiidae","Megathymus","Yucca giant-skipper","Coastal dunes, open yucca flats, desert canyons, open woodland, grassland, and old fields","Cryptic grey-brown","Inferred from photo","southestern United States","Subtropics and Temperate (40N-25N)","March-May","?","Trager et al .2009","folivore","1","1","feed on Yucca filamentosa L. (Agavaceae)","specialist","shrub","Trager et al .2009"
"Tegeticula yuccasella",2,327.227582,4.35456,-2.92849672302289,4.35456,-2.47803069471133,0,"nocturnal","nocturnal flower visitor.","James et al. 1993","Adeloidea/Andesianoidea","Adeloidea","Prodoxidae","Tegeticula","Yucca moth","sand dunes, pine forest and glades in the east, and grassland elsewhere","Cryptic grey-brown","Inferred from photo","North America","Temperate (50N-30N)","June-July","?","Baker 1986
Althoff et al. 2012","frugivore, seed borer","1","1","Yucca flower at night (Asparagaceae)","specialist","herbaceous plant","Baker 1986
James et al. 1993"
"Lyssa zampa",2,443.629791,237.158199,-0.0689690795413878,237.158199,-0.237305239830219,0,"all","adult has been observed to be active during the day and night.","Jain and Tea 2020","Geometroidea","Geometroidea","Uraniidae","Lyssa","Tropical swallowtail moth","particularly in montane forests","Cryptic grey-brown","Inferred from photo","South‐East Asia including Indonesia, Singapore, Malaysia, North‐East Himalaya, the Andaman Islands, Thailand, the Philippines and southern China","Tropics and Subtropics (25N-10S)","June-Novermber","?","Tokeshi and Yoko 2007
https://en.wikipedia.org/wiki/Lyssa_zampa","folivore","1","1","feed on gens Endospermum spp (Euphorbiaceae)","specialist","broadleaf tree","Tokeshi and Yoko 2007"
"Helicoverpa zea",112,5772.448565,236.026195582046,-2.21192878751497,71.7696091339286,-2.76245017205546,0,"nocturnal","nocturnal","Olmstead et al. 2016","Noctuoidea","Noctuoidea","Noctuidae","Helicoverpa","Tomato fruitworm","-","Cryptic grey-brown","Inferred from photo","almost all parts of America","Tropics, Subtropic, Temperate (55N-40S)","year round.","?","https://www.cabi.org/isc/datasheet/26776
https://en.wikipedia.org/wiki/Helicoverpa_zea","folivore, frugivore","0","0","polyphagous","generalist","herbaceous plant","Olmstead et al. 2016"
